id;libelle
11;Aberdeen Terrier
12;Affenpinscher
13;Afghan Hound
14;Aidi
15;Airedale Terrier
16;Akita
17;Akita americain
18;Alangu Mastiff
19;Alapaha Blue Blood Bulldog
20;Alaskan Klee Kai
